,attacks
435,normal
436,satan
437,normal
438,guess_passwd
439,normal
440,normal
441,normal
442,normal
443,smurf
444,normal
445,normal
446,normal
447,snmpgetattack
448,neptune
449,guess_passwd
450,apache2
451,neptune
452,normal
453,normal
454,normal
455,satan
456,nmap
457,mscan
458,processtable
459,normal
460,neptune
461,normal
462,normal
463,neptune
464,satan
465,normal
466,normal
467,normal
468,normal
469,neptune
470,httptunnel
471,guess_passwd
472,back
473,normal
474,normal
475,normal
476,normal
477,processtable
478,normal
479,normal
480,warezmaster
481,mscan
482,normal
483,neptune
484,satan
485,processtable
486,normal
487,back
488,normal
489,normal
490,normal
491,neptune
492,mscan
493,neptune
494,normal
495,saint
496,normal
497,neptune
498,normal
499,normal
500,neptune
501,processtable
502,neptune
503,back
504,smurf
505,normal
506,guess_passwd
507,neptune
508,normal
509,normal
510,normal
511,mscan
512,snmpguess
513,smurf
514,smurf
515,ipsweep
516,apache2
517,normal
518,neptune
519,neptune
520,normal
521,normal
522,normal
523,warezmaster
524,satan
525,neptune
526,normal
527,guess_passwd
528,normal
529,portsweep
530,mailbomb
531,apache2
532,normal
533,warezmaster
534,neptune
535,normal
536,normal
537,normal
538,normal
539,normal
540,neptune
541,normal
542,normal
543,normal
544,guess_passwd
545,normal
546,neptune
547,satan
548,normal
549,normal
550,neptune
551,apache2
552,normal
553,normal
554,normal
555,normal
556,neptune
557,normal
558,normal
559,normal
560,normal
561,neptune
562,smurf
563,mscan
564,neptune
565,normal
566,normal
567,smurf
568,normal
569,normal
570,normal
571,normal
572,normal
573,normal
574,normal
575,smurf
576,normal
577,normal
578,normal
579,smurf
580,normal
581,apache2
582,neptune
583,warezmaster
584,normal
585,guess_passwd
586,guess_passwd
587,neptune
588,snmpguess
589,smurf
590,httptunnel
591,normal
592,apache2
593,normal
594,normal
595,normal
596,neptune
597,normal
598,portsweep
599,mailbomb
600,neptune
601,normal
602,apache2
603,neptune
604,normal
605,neptune
606,normal
607,snmpgetattack
608,smurf
609,neptune
610,neptune
611,guess_passwd
612,neptune
613,normal
614,nmap
615,back
616,normal
617,back
618,normal
619,neptune
620,normal
621,warezmaster
622,neptune
623,processtable
624,guess_passwd
625,normal
626,neptune
627,neptune
628,processtable
629,neptune
630,guess_passwd
631,normal
632,apache2
633,normal
634,neptune
635,guess_passwd
636,neptune
637,normal
638,neptune
639,normal
640,saint
641,guess_passwd
642,apache2
643,satan
644,normal
645,neptune
646,ipsweep
647,normal
648,normal
649,neptune
650,mscan
651,normal
652,normal
653,normal
654,normal
655,mscan
656,warezmaster
657,normal
658,normal
659,normal
660,guess_passwd
661,guess_passwd
662,normal
663,normal
664,normal
665,neptune
666,neptune
667,normal
668,normal
669,guess_passwd
670,satan
671,normal
672,normal
673,normal
674,normal
675,normal
676,processtable
677,normal
678,processtable
679,normal
680,normal
681,neptune
682,smurf
683,pod
684,snmpguess
685,apache2
686,neptune
687,normal
688,satan
689,normal
690,smurf
691,normal
692,normal
693,normal
694,guess_passwd
695,neptune
696,normal
697,neptune
698,normal
699,mscan
700,warezmaster
701,neptune
702,normal
703,normal
704,normal
705,neptune
706,normal
707,neptune
708,satan
709,normal
710,normal
711,satan
712,neptune
713,neptune
714,satan
715,normal
716,neptune
717,portsweep
718,normal
719,normal
720,normal
721,normal
722,normal
723,pod
724,smurf
725,ipsweep
726,mscan
727,normal
728,normal
729,normal
730,smurf
731,snmpgetattack
732,normal
733,normal
734,saint
735,normal
736,normal
737,named
738,neptune
739,normal
740,mailbomb
741,back
742,normal
743,normal
744,normal
745,normal
746,normal
747,guess_passwd
748,normal
749,neptune
750,smurf
751,mscan
752,normal
753,mscan
754,normal
755,normal
756,warezmaster
757,back
758,normal
759,normal
760,warezmaster
761,normal
762,neptune
763,normal
764,processtable
765,neptune
766,normal
767,normal
768,satan
769,neptune
770,normal
771,warezmaster
772,apache2
773,normal
774,normal
775,normal
776,neptune
777,neptune
778,normal
779,normal
780,neptune
781,neptune
782,normal
783,normal
784,normal
785,normal
786,apache2
787,normal
788,smurf
789,satan
790,normal
791,warezmaster
792,normal
793,normal
794,normal
795,guess_passwd
796,normal
797,apache2
798,saint
799,normal
800,neptune
801,normal
802,neptune
803,normal
804,processtable
805,normal
806,normal
807,processtable
808,neptune
809,processtable
810,normal
811,processtable
812,normal
813,warezmaster
814,mscan
815,normal
816,normal
817,normal
818,normal
819,neptune
820,neptune
821,normal
822,normal
823,normal
824,neptune
825,normal
826,normal
827,neptune
828,neptune
829,normal
830,normal
831,normal
832,normal
833,normal
834,processtable
835,warezmaster
836,normal
837,normal
838,warezmaster
839,neptune
840,normal
841,normal
842,neptune
843,processtable
844,apache2
845,normal
846,normal
847,warezmaster
848,normal
849,normal
850,apache2
851,normal
852,guess_passwd
853,neptune
854,neptune
855,mailbomb
856,neptune
857,neptune
858,satan
859,warezmaster
860,neptune
861,back
862,neptune
863,normal
864,apache2
865,normal
866,normal
867,mscan
868,normal
869,processtable
870,normal
871,neptune
872,normal
873,neptune
874,normal
875,guess_passwd
876,apache2
877,neptune
878,neptune
879,normal
880,mscan
881,neptune
882,normal
883,normal
884,normal
885,neptune
886,neptune
887,neptune
888,warezmaster
889,normal
890,apache2
891,normal
892,satan
893,processtable
894,processtable
895,neptune
896,neptune
897,normal
898,normal
899,saint
900,neptune
901,normal
902,ipsweep
903,normal
904,normal
905,normal
906,neptune
907,warezmaster
908,neptune
909,normal
910,neptune
911,normal
912,normal
913,neptune
914,normal
915,normal
916,satan
917,normal
918,neptune
919,satan
920,normal
921,neptune
922,snmpguess
923,normal
924,buffer_overflow
925,satan
926,guess_passwd
927,guess_passwd
928,normal
929,snmpgetattack
930,normal
931,normal
932,normal
933,normal
934,normal
935,apache2
936,smurf
937,normal
938,snmpguess
939,saint
940,apache2
941,normal
942,neptune
943,neptune
944,normal
945,normal
946,normal
947,neptune
948,processtable
949,neptune
950,smurf
951,normal
952,normal
953,normal
954,neptune
955,normal
956,normal
957,apache2
958,smurf
959,neptune
960,normal
961,normal
962,guess_passwd
963,normal
964,neptune
965,smurf
966,buffer_overflow
967,nmap
968,normal
969,normal
970,neptune
971,satan
972,smurf
973,neptune
974,neptune
975,normal
976,normal
977,normal
978,smurf
979,neptune
980,neptune
981,processtable
982,mscan
983,normal
984,warezmaster
985,normal
986,neptune
987,normal
988,neptune
989,guess_passwd
990,normal
991,smurf
992,normal
993,back
994,processtable
995,neptune
996,satan
997,smurf
998,saint
999,normal
1000,normal
1001,normal
1002,nmap
1003,back
1004,neptune
1005,normal
1006,neptune
1007,neptune
1008,processtable
1009,normal
1010,mscan
1011,neptune
1012,neptune
1013,neptune
1014,back
1015,smurf
1016,normal
1017,normal
1018,normal
1019,mscan
1020,smurf
1021,snmpguess
1022,normal
1023,normal
1024,normal
1025,warezmaster
1026,smurf
1027,neptune
1028,normal
1029,normal
1030,normal
1031,normal
1032,normal
1033,mscan
1034,nmap
1035,normal
1036,normal
1037,normal
1038,processtable
1039,smurf
1040,normal
1041,apache2
1042,normal
1043,neptune
1044,neptune
1045,neptune
1046,mailbomb
1047,satan
1048,neptune
1049,back
1050,normal
1051,normal
1052,normal
1053,normal
1054,normal
1055,normal
1056,neptune
1057,guess_passwd
1058,smurf
1059,ipsweep
1060,mscan
1061,guess_passwd
1062,normal
1063,sendmail
1064,neptune
1065,neptune
1066,mailbomb
1067,neptune
1068,normal
1069,normal
1070,neptune
1071,neptune
1072,normal
1073,satan
1074,httptunnel
1075,normal
1076,normal
1077,mscan
1078,apache2
1079,normal
1080,normal
1081,normal
1082,smurf
1083,normal
1084,normal
1085,neptune
1086,normal
1087,normal
1088,warezmaster
1089,normal
1090,normal
1091,normal
1092,normal
1093,normal
1094,warezmaster
1095,normal
1096,apache2
1097,mscan
1098,warezmaster
1099,neptune
1100,neptune
1101,normal
1102,normal
1103,normal
1104,normal
1105,mailbomb
1106,apache2
1107,apache2
1108,warezmaster
1109,snmpgetattack
1110,normal
1111,neptune
1112,neptune
1113,normal
1114,normal
1115,neptune
1116,neptune
1117,normal
1118,normal
1119,mailbomb
1120,apache2
1121,mscan
1122,normal
1123,normal
1124,normal
1125,satan
1126,neptune
1127,normal
1128,normal
1129,smurf
1130,nmap
1131,neptune
1132,normal
1133,normal
1134,normal
1135,warezmaster
1136,saint
1137,processtable
1138,neptune
1139,warezmaster
1140,mscan
1141,normal
1142,satan
1143,neptune
1144,mscan
1145,ipsweep
1146,normal
1147,smurf
1148,portsweep
1149,processtable
1150,mailbomb
1151,apache2
1152,neptune
1153,normal
1154,neptune
1155,back
1156,normal
1157,normal
1158,apache2
1159,neptune
1160,neptune
1161,normal
1162,normal
1163,normal
1164,normal
1165,neptune
1166,processtable
1167,smurf
1168,satan
1169,normal
1170,neptune
1171,normal
1172,normal
1173,normal
1174,normal
1175,processtable
1176,neptune
1177,neptune
1178,normal
1179,normal
1180,neptune
1181,warezmaster
1182,satan
1183,neptune
1184,back
1185,normal
1186,normal
1187,normal
1188,normal
1189,neptune
1190,warezmaster
1191,warezmaster
1192,normal
1193,normal
1194,smurf
1195,guess_passwd
1196,normal
1197,neptune
1198,normal
1199,normal
1200,neptune
1201,neptune
1202,neptune
1203,neptune
1204,normal
1205,httptunnel
1206,warezmaster
1207,normal
1208,neptune
1209,neptune
1210,normal
1211,back
1212,mailbomb
1213,nmap
1214,neptune
1215,normal
1216,normal
1217,httptunnel
1218,guess_passwd
1219,normal
1220,normal
1221,back
1222,neptune
1223,mscan
1224,smurf
1225,normal
1226,guess_passwd
1227,mscan
1228,normal
1229,guess_passwd
1230,normal
1231,neptune
1232,neptune
1233,normal
1234,normal
1235,normal
1236,neptune
1237,normal
1238,apache2
1239,httptunnel
1240,portsweep
1241,normal
1242,normal
1243,satan
1244,smurf
1245,neptune
1246,neptune
1247,normal
1248,mscan
1249,normal
1250,neptune
1251,normal
1252,normal
1253,normal
1254,normal
1255,httptunnel
1256,normal
1257,processtable
1258,guess_passwd
1259,normal
1260,normal
1261,saint
1262,normal
1263,mailbomb
1264,mscan
1265,neptune
1266,normal
1267,normal
1268,neptune
1269,neptune
1270,snmpguess
1271,neptune
1272,neptune
1273,guess_passwd
1274,pod
1275,normal
1276,normal
1277,neptune
1278,normal
1279,smurf
1280,normal
1281,neptune
1282,neptune
1283,normal
1284,guess_passwd
1285,warezmaster
1286,satan
1287,neptune
1288,neptune
1289,mscan
1290,processtable
1291,normal
1292,neptune
1293,warezmaster
1294,mscan
1295,neptune
1296,processtable
1297,snmpgetattack
1298,mscan
1299,satan
1300,mscan
1301,portsweep
1302,snmpguess
1303,normal
1304,normal
1305,normal
1306,normal
1307,normal
1308,normal
1309,apache2
1310,normal
1311,neptune
1312,saint
1313,smurf
1314,neptune
1315,apache2
1316,normal
1317,normal
1318,normal
1319,neptune
1320,satan
1321,normal
1322,satan
1323,normal
1324,processtable
1325,neptune
1326,neptune
1327,normal
1328,normal
1329,neptune
1330,apache2
1331,neptune
1332,httptunnel
1333,neptune
1334,normal
1335,normal
1336,neptune
1337,normal
1338,normal
1339,satan
1340,normal
1341,smurf
1342,normal
1343,normal
1344,normal
1345,apache2
1346,neptune
1347,normal
1348,normal
1349,snmpguess
1350,neptune
1351,guess_passwd
1352,normal
1353,mscan
1354,normal
1355,normal
1356,neptune
1357,normal
1358,warezmaster
1359,guess_passwd
1360,normal
1361,satan
1362,neptune
1363,mailbomb
1364,normal
1365,normal
1366,neptune
1367,ipsweep
1368,neptune
1369,normal
1370,neptune
1371,neptune
1372,satan
1373,normal
1374,guess_passwd
1375,neptune
1376,neptune
1377,satan
1378,smurf
1379,processtable
1380,normal
1381,guess_passwd
1382,snmpguess
1383,normal
1384,normal
1385,guess_passwd
1386,normal
1387,normal
1388,normal
1389,snmpguess
1390,normal
1391,warezmaster
1392,normal
1393,mscan
1394,processtable
1395,normal
1396,normal
1397,normal
1398,guess_passwd
1399,processtable
1400,normal
1401,normal
1402,neptune
1403,httptunnel
1404,normal
1405,ipsweep
1406,snmpgetattack
1407,processtable
1408,normal
1409,normal
1410,normal
1411,mailbomb
1412,mscan
1413,mscan
1414,normal
1415,apache2
1416,neptune
1417,snmpguess
1418,neptune
1419,normal
1420,normal
1421,normal
1422,satan
1423,normal
1424,mscan
1425,neptune
1426,back
1427,normal
1428,neptune
1429,warezmaster
1430,normal
1431,neptune
1432,normal
1433,normal
1434,processtable
1435,guess_passwd
1436,neptune
1437,neptune
1438,normal
1439,neptune
1440,warezmaster
1441,neptune
1442,warezmaster
1443,normal
1444,normal
1445,normal
1446,ipsweep
1447,neptune
1448,normal
1449,normal
1450,normal
1451,normal
1452,mailbomb
1453,neptune
1454,warezmaster
1455,normal
1456,mscan
1457,neptune
1458,neptune
1459,normal
1460,satan
1461,normal
1462,normal
1463,neptune
1464,normal
1465,processtable
1466,normal
1467,saint
1468,normal
1469,neptune
1470,normal
1471,normal
1472,apache2
1473,smurf
1474,warezmaster
1475,normal
1476,normal
1477,neptune
1478,guess_passwd
1479,normal
1480,neptune
1481,satan
1482,normal
1483,normal
1484,normal
1485,smurf
1486,normal
1487,normal
1488,normal
1489,normal
1490,smurf
1491,normal
1492,normal
1493,satan
1494,normal
1495,normal
1496,snmpgetattack
1497,normal
1498,normal
1499,neptune
1500,normal
1501,normal
1502,neptune
1503,warezmaster
1504,neptune
1505,neptune
1506,normal
1507,normal
1508,back
1509,normal
1510,normal
1511,warezmaster
1512,neptune
1513,neptune
1514,normal
1515,normal
1516,normal
1517,normal
1518,guess_passwd
1519,normal
1520,mscan
1521,guess_passwd
1522,normal
1523,normal
1524,normal
1525,normal
1526,smurf
1527,normal
1528,mscan
1529,normal
1530,apache2
1531,normal
1532,normal
1533,neptune
1534,normal
1535,normal
1536,normal
1537,mailbomb
1538,normal
1539,normal
1540,guess_passwd
1541,normal
1542,normal
1543,processtable
1544,normal
1545,normal
1546,neptune
1547,normal
1548,processtable
1549,normal
1550,normal
1551,saint
1552,guess_passwd
1553,normal
1554,normal
1555,neptune
1556,mscan
1557,normal
1558,guess_passwd
1559,mscan
1560,neptune
1561,normal
1562,neptune
1563,neptune
1564,neptune
1565,warezmaster
1566,smurf
1567,normal
1568,normal
1569,normal
1570,neptune
1571,normal
1572,neptune
1573,normal
1574,neptune
1575,normal
1576,mscan
1577,mailbomb
1578,normal
1579,normal
1580,smurf
1581,neptune
1582,warezmaster
1583,neptune
1584,neptune
1585,neptune
1586,normal
1587,smurf
1588,normal
1589,neptune
1590,neptune
1591,neptune
1592,neptune
1593,mailbomb
1594,normal
1595,portsweep
1596,normal
1597,neptune
1598,normal
1599,guess_passwd
1600,normal
1601,normal
1602,normal
1603,neptune
1604,normal
1605,normal
1606,processtable
1607,processtable
1608,mscan
1609,mscan
1610,processtable
1611,normal
1612,nmap
1613,smurf
1614,normal
1615,processtable
1616,warezmaster
1617,guess_passwd
1618,guess_passwd
1619,normal
1620,neptune
1621,normal
1622,normal
1623,guess_passwd
1624,normal
1625,normal
1626,neptune
1627,normal
1628,normal
1629,snmpguess
1630,neptune
1631,normal
1632,guess_passwd
1633,guess_passwd
1634,normal
1635,mscan
1636,normal
1637,normal
1638,saint
1639,normal
1640,normal
1641,guess_passwd
1642,normal
1643,neptune
1644,normal
1645,normal
1646,mscan
1647,normal
1648,snmpgetattack
1649,normal
1650,neptune
1651,normal
1652,mailbomb
1653,normal
1654,mscan
1655,normal
1656,mscan
1657,satan
1658,normal
1659,guess_passwd
1660,normal
1661,warezmaster
1662,neptune
1663,neptune
1664,mailbomb
1665,normal
1666,normal
1667,normal
1668,neptune
1669,normal
1670,normal
1671,normal
1672,normal
1673,warezmaster
1674,mscan
1675,normal
1676,normal
1677,satan
1678,normal
1679,normal
1680,normal
1681,neptune
1682,normal
1683,normal
1684,neptune
1685,smurf
1686,neptune
1687,neptune
1688,normal
1689,normal
1690,normal
1691,normal
1692,warezmaster
1693,normal
1694,normal
1695,neptune
1696,normal
1697,mscan
1698,neptune
1699,pod
1700,warezmaster
1701,normal
1702,mailbomb
1703,normal
1704,neptune
1705,neptune
1706,normal
1707,normal
1708,mscan
1709,normal
1710,normal
1711,normal
1712,normal
1713,normal
1714,normal
1715,normal
1716,neptune
1717,normal
1718,guess_passwd
1719,satan
1720,normal
1721,snmpgetattack
1722,normal
1723,satan
1724,apache2
1725,snmpguess
1726,smurf
1727,normal
1728,neptune
1729,normal
1730,normal
1731,apache2
1732,neptune
1733,neptune
1734,guess_passwd
1735,normal
1736,neptune
1737,normal
1738,normal
1739,smurf
1740,normal
1741,guess_passwd
1742,neptune
1743,neptune
1744,normal
1745,normal
1746,apache2
1747,normal
1748,smurf
1749,ipsweep
1750,neptune
1751,normal
1752,normal
1753,satan
1754,neptune
1755,mailbomb
1756,normal
1757,smurf
1758,neptune
1759,satan
1760,normal
1761,snmpguess
1762,satan
1763,normal
1764,neptune
1765,normal
1766,normal
1767,guess_passwd
1768,normal
1769,normal
1770,normal
1771,normal
1772,mailbomb
1773,processtable
1774,neptune
1775,sendmail
1776,normal
1777,normal
1778,guess_passwd
1779,neptune
1780,ipsweep
1781,normal
1782,apache2
1783,neptune
1784,neptune
1785,normal
1786,normal
1787,normal
1788,normal
1789,neptune
1790,processtable
1791,saint
1792,normal
1793,mscan
1794,normal
1795,processtable
1796,saint
1797,normal
1798,normal
1799,normal
1800,normal
1801,guess_passwd
1802,neptune
1803,normal
1804,normal
1805,neptune
1806,neptune
1807,neptune
1808,neptune
1809,neptune
1810,normal
1811,smurf
1812,normal
1813,neptune
1814,normal
1815,normal
1816,neptune
1817,normal
1818,normal
1819,satan
1820,normal
1821,normal
1822,mscan
1823,normal
1824,neptune
1825,back
1826,normal
1827,back
1828,normal
1829,normal
1830,neptune
1831,portsweep
1832,normal
1833,portsweep
1834,normal
1835,neptune
1836,normal
1837,normal
1838,guess_passwd
1839,mailbomb
1840,normal
1841,warezmaster
1842,smurf
1843,portsweep
1844,normal
1845,neptune
1846,neptune
1847,neptune
1848,normal
1849,snmpguess
1850,satan
1851,neptune
1852,neptune
1853,smurf
1854,processtable
1855,neptune
1856,guess_passwd
1857,normal
1858,normal
1859,normal
1860,guess_passwd
1861,normal
1862,neptune
1863,mscan
1864,snmpguess
1865,normal
1866,guess_passwd
1867,normal
1868,normal
1869,normal
1870,neptune
1871,normal
1872,apache2
1873,snmpguess
1874,satan
1875,snmpguess
1876,warezmaster
1877,neptune
1878,normal
1879,neptune
1880,neptune
1881,normal
1882,warezmaster
1883,saint
1884,snmpgetattack
1885,neptune
1886,warezmaster
1887,mailbomb
1888,normal
1889,normal
1890,normal
1891,normal
1892,neptune
1893,neptune
1894,normal
1895,normal
1896,normal
1897,mscan
1898,normal
1899,satan
1900,mscan
1901,warezmaster
1902,guess_passwd
1903,neptune
1904,neptune
1905,back
1906,apache2
1907,neptune
1908,apache2
1909,smurf
1910,neptune
1911,neptune
1912,neptune
1913,httptunnel
1914,normal
1915,satan
1916,normal
1917,normal
1918,normal
1919,normal
1920,warezmaster
1921,guess_passwd
1922,normal
1923,normal
1924,saint
1925,neptune
1926,apache2
1927,neptune
1928,normal
1929,normal
1930,normal
1931,apache2
1932,satan
1933,satan
1934,mscan
1935,normal
1936,normal
1937,neptune
1938,normal
1939,saint
1940,smurf
1941,smurf
1942,back
1943,normal
1944,neptune
1945,normal
1946,neptune
1947,neptune
1948,normal
1949,saint
1950,mailbomb
1951,normal
1952,warezmaster
1953,apache2
1954,apache2
1955,mscan
1956,normal
1957,warezmaster
1958,neptune
1959,mailbomb
1960,warezmaster
1961,neptune
1962,normal
1963,normal
1964,satan
1965,normal
1966,normal
1967,normal
1968,smurf
1969,back
1970,normal
1971,neptune
1972,normal
1973,apache2
1974,neptune
1975,neptune
1976,normal
1977,normal
1978,neptune
1979,normal
1980,neptune
1981,neptune
1982,normal
1983,neptune
1984,saint
1985,neptune
1986,normal
1987,mscan
1988,normal
1989,normal
1990,guess_passwd
1991,normal
1992,normal
1993,normal
1994,httptunnel
1995,neptune
1996,satan
1997,normal
1998,warezmaster
1999,guess_passwd
2000,httptunnel
2001,back
2002,neptune
2003,normal
2004,neptune
2005,normal
2006,apache2
2007,neptune
2008,mscan
2009,normal
2010,warezmaster
2011,processtable
2012,normal
2013,neptune
2014,normal
2015,neptune
2016,warezmaster
2017,normal
2018,apache2
2019,smurf
2020,back
2021,saint
2022,warezmaster
2023,normal
2024,normal
2025,mailbomb
2026,neptune
2027,mailbomb
2028,neptune
2029,normal
2030,snmpguess
2031,mscan
2032,portsweep
2033,normal
2034,processtable
2035,loadmodule
2036,normal
2037,normal
2038,neptune
2039,normal
2040,snmpguess
2041,neptune
2042,snmpguess
2043,processtable
2044,normal
2045,neptune
2046,guess_passwd
2047,normal
2048,normal
2049,normal
2050,normal
2051,normal
2052,mscan
2053,normal
2054,normal
2055,guess_passwd
2056,neptune
2057,normal
2058,normal
2059,normal
2060,satan
2061,normal
2062,guess_passwd
2063,warezmaster
2064,normal
2065,apache2
2066,mscan
2067,normal
2068,neptune
2069,normal
2070,neptune
2071,normal
2072,normal
2073,normal
2074,normal
2075,normal
2076,normal
2077,normal
2078,smurf
2079,normal
2080,normal
2081,normal
2082,normal
2083,normal
2084,neptune
2085,neptune
2086,satan
2087,neptune
2088,normal
2089,normal
2090,neptune
2091,normal
2092,normal
2093,normal
2094,neptune
2095,normal
2096,satan
2097,neptune
2098,normal
2099,neptune
2100,processtable
2101,normal
2102,neptune
2103,neptune
2104,normal
2105,httptunnel
2106,apache2
2107,guess_passwd
2108,mscan
2109,neptune
2110,neptune
2111,normal
2112,normal
2113,neptune
2114,warezmaster
2115,normal
2116,normal
2117,smurf
2118,normal
2119,portsweep
2120,normal
2121,apache2
2122,normal
2123,normal
2124,neptune
2125,satan
2126,mscan
2127,normal
2128,neptune
2129,mscan
2130,mscan
2131,guess_passwd
2132,portsweep
2133,neptune
2134,normal
2135,normal
2136,neptune
2137,smurf
2138,neptune
2139,normal
2140,guess_passwd
2141,normal
2142,warezmaster
2143,normal
2144,guess_passwd
2145,snmpguess
2146,neptune
2147,neptune
2148,neptune
2149,normal
2150,neptune
2151,mscan
2152,ps
2153,normal
2154,normal
2155,neptune
2156,warezmaster
2157,normal
2158,neptune
2159,neptune
2160,satan
2161,mailbomb
2162,normal
2163,normal
2164,normal
2165,normal
2166,satan
2167,neptune
2168,guess_passwd
2169,guess_passwd
2170,mscan
2171,normal
2172,neptune
2173,mailbomb
2174,normal
2175,neptune
2176,processtable
2177,normal
2178,neptune
2179,mscan
2180,normal
2181,satan
2182,smurf
2183,ipsweep
2184,smurf
2185,normal
2186,normal
2187,normal
2188,satan
2189,normal
2190,normal
2191,normal
2192,smurf
2193,normal
2194,normal
2195,normal
2196,normal
2197,neptune
2198,normal
2199,mscan
2200,neptune
2201,smurf
2202,normal
2203,normal
